kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
transmission,453.9999999999999,transmission_monitor,4,0.05553711236993282,PROPAGATING,PROPAGATING,0.348970774578433
transmission,453.9999999999999,transmission_monitor,5,0.02251619794488524,PROPAGATING,PROPAGATING,0.6098903148083181
transmission,453.9999999999999,transmission_monitor,6,0.24389969314967666,PROPAGATING,PROPAGATING,0.8708098550382031
reflection,453.9999999999999,reflection_monitor,-2,0.0017016879673772425,EVANESCENT,PROPAGATING,-0.85300933132912
reflection,453.9999999999999,reflection_monitor,-1,0.11556762914439392,PROPAGATING,PROPAGATING,-0.6700596383942713
reflection,453.9999999999999,reflection_monitor,0,0.018938548061251143,PROPAGATING,PROPAGATING,-0.48710994545942254
reflection,453.9999999999999,reflection_monitor,1,0.14228017336772095,PROPAGATING,PROPAGATING,-0.30416025252457374
reflection,453.9999999999999,reflection_monitor,2,0.05947375370532246,PROPAGATING,PROPAGATING,-0.12121055958972494
reflection,453.9999999999999,reflection_monitor,3,0.029824101758585245,PROPAGATING,PROPAGATING,0.06173913334512386
reflection,453.9999999999999,reflection_monitor,4,0.012587575325233686,PROPAGATING,PROPAGATING,0.24468882627997263
reflection,453.9999999999999,reflection_monitor,5,0.07749561086498731,PROPAGATING,PROPAGATING,0.4276385192148215
reflection,453.9999999999999,reflection_monitor,6,0.3276303767201014,PROPAGATING,PROPAGATING,0.6105882121496703
reflection,453.9999999999999,reflection_monitor,7,0.13119983439804914,EVANESCENT,PROPAGATING,0.793537905084519
reflection,453.9999999999999,reflection_monitor,8,0.08330070868697745,EVANESCENT,PROPAGATING,0.9764875980193678
transmission,455.00000000000006,transmission_monitor,-1,0.18845080906056544,PROPAGATING,PROPAGATING,-0.957731831695598
transmission,455.00000000000006,transmission_monitor,0,0.08628297311734648,PROPAGATING,PROPAGATING,-0.6962375788220347
transmission,455.00000000000006,transmission_monitor,1,0.16281662047530915,PROPAGATING,PROPAGATING,-0.43474332594847154
transmission,455.00000000000006,transmission_monitor,2,0.20323322175614994,PROPAGATING,PROPAGATING,-0.17324907307490825
transmission,455.00000000000006,transmission_monitor,3,0.032781910896958005,PROPAGATING,PROPAGATING,0.08824517979865504
transmission,455.00000000000006,transmission_monitor,4,0.05198537763099315,PROPAGATING,PROPAGATING,0.34973943267221824
transmission,455.00000000000006,transmission_monitor,5,0.023057538182661562,PROPAGATING,PROPAGATING,0.6112336855457816
transmission,455.00000000000006,transmission_monitor,6,0.25139154888001614,PROPAGATING,PROPAGATING,0.8727279384193448
reflection,455.00000000000006,reflection_monitor,-2,0.0020291827218522247,EVANESCENT,PROPAGATING,-0.8548882065082593
reflection,455.00000000000006,reflection_monitor,-1,0.11358927277187594,PROPAGATING,PROPAGATING,-0.6715355406814835
reflection,455.00000000000006,reflection_monitor,0,0.020705372451271038,PROPAGATING,PROPAGATING,-0.48818287485470774
reflection,455.00000000000006,reflection_monitor,1,0.13812682565202117,PROPAGATING,PROPAGATING,-0.30483020902793195
reflection,455.00000000000006,reflection_monitor,2,0.058905979456715545,PROPAGATING,PROPAGATING,-0.12147754320115609
reflection,455.00000000000006,reflection_monitor,3,0.027866306331021738,PROPAGATING,PROPAGATING,0.06187512262561975
reflection,455.00000000000006,reflection_monitor,4,0.0115911252271147,PROPAGATING,PROPAGATING,0.24522778845239554
reflection,455.00000000000006,reflection_monitor,5,0.07394497557789546,PROPAGATING,PROPAGATING,0.4285804542791714
reflection,455.00000000000006,reflection_monitor,6,0.3330228779054505,PROPAGATING,PROPAGATING,0.6119331201059472
reflection,455.00000000000006,reflection_monitor,7,0.1454679648220666,EVANESCENT,PROPAGATING,0.795285785932723
reflection,455.00000000000006,reflection_monitor,8,0.07475011708271519,EVANESCENT,PROPAGATING,0.9786384517594988
