topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,2,43,76,155,,631,9,1,24.0,24.0,24.0,0.6242020363548502,0.6242020363548502,0.6242020363548502,0.5503039225502676,0.5503039225502676,0.5503039225502676,0.4529467091757312,0.4529467091757312,0.4529467091757312,5.502004238271984,5.502004238271984,5.502004238271984
Explicit,2,43,76,156,,632,9,1,25.5,25.5,25.5,0.6768102289844501,0.6768102289844501,0.6768102289844501,0.6015908146766603,0.6015908146766603,0.6015908146766603,0.49714677535014307,0.49714677535014307,0.49714677535014307,5.883448046797815,5.883448046797815,5.883448046797815
Explicit,2,43,76,157,,633,9,1,26.0,26.0,26.0,0.7268569064323399,0.7268569064323399,0.7268569064323399,0.6539143620316127,0.6539143620316127,0.6539143620316127,0.5447526052643059,0.5447526052643059,0.5447526052643059,6.257902906650227,6.257902906650227,6.257902906650227
Explicit,2,43,76,158,,634,9,1,26.5,26.5,26.5,0.771003533686689,0.771003533686689,0.771003533686689,0.7050361181554924,0.7050361181554924,0.7050361181554924,0.5949929774312065,0.5949929774312065,0.5949929774312065,6.606366441956785,6.606366441956785,6.606366441956785
Explicit,2,43,76,159,,635,9,1,26.5,26.5,26.5,0.805595326809736,0.805595326809736,0.805595326809736,0.7520042456741403,0.7520042456741403,0.7520042456741403,0.6465335127209104,0.6465335127209104,0.6465335127209104,6.904974405332889,6.904974405332889,6.904974405332889
Explicit,2,43,76,160,,636,9,1,27.0,27.0,27.0,0.8272687206174036,0.8272687206174036,0.8272687206174036,0.7913704194285065,0.7913704194285065,0.7913704194285065,0.6973696701475091,0.6973696701475091,0.6973696701475091,7.1267953256216865,7.1267953256216865,7.1267953256216865
Explicit,2,43,76,161,,637,9,1,27.0,27.0,27.0,0.8336806474502281,0.8336806474502281,0.8336806474502281,0.819655305918562,0.819655305918562,0.819655305918562,0.7448140932794604,0.7448140932794604,0.7448140932794604,7.24538249384745,7.24538249384745,7.24538249384745
Explicit,2,43,76,162,,638,9,1,27.5,27.5,27.5,0.8241020568850999,0.8241020568850999,0.8241020568850999,0.8340062728785222,0.8340062728785222,0.8340062728785222,0.7856540735112427,0.7856540735112427,0.7856540735112427,7.2397216404984075,7.2397216404984075,7.2397216404984075
Explicit,2,43,77,152,,632,9,1,20.5,20.5,20.5,0.49693926171048464,0.49693926171048464,0.49693926171048464,0.4347912014203462,0.4347912014203462,0.4347912014203462,0.35855620792368303,0.35855620792368303,0.35855620792368303,4.674158122952117,4.674158122952117,4.674158122952117
Explicit,2,43,77,153,,633,9,1,22.0,22.0,22.0,0.5459143966474578,0.5459143966474578,0.5459143966474578,0.4781802443331817,0.4781802443331817,0.4781802443331817,0.3933340961532743,0.3933340961532743,0.3933340961532743,5.0268827065635895,5.0268827065635895,5.0268827065635895
Explicit,2,43,77,154,,634,9,1,23.5,23.5,23.5,0.5975262475383871,0.5975262475383871,0.5975262475383871,0.5252395185878731,0.5252395185878731,0.5252395185878731,0.4318611009726333,0.4318611009726333,0.4318611009726333,5.39851980824728,5.39851980824728,5.39851980824728
Explicit,2,43,77,155,,635,9,1,25.0,25.0,25.0,0.6502354576964972,0.6502354576964972,0.6502354576964972,0.5753254346992305,0.5753254346992305,0.5753254346992305,0.47418264659517806,0.47418264659517806,0.47418264659517806,5.78167850037866,5.78167850037866,5.78167850037866
Explicit,2,43,77,156,,636,9,1,26.0,26.0,26.0,0.7017447765913589,0.7017447765913589,0.7017447765913589,0.6272405537337985,0.6272405537337985,0.6272405537337985,0.5201048052490178,0.5201048052490178,0.5201048052490178,6.164671573815632,6.164671573815632,6.164671573815632
Explicit,2,43,77,157,,637,9,1,26.5,26.5,26.5,0.7490117662131655,0.7490117662131655,0.7490117662131655,0.6791008220944252,0.6791008220944252,0.6791008220944252,0.569073311260359,0.569073311260359,0.569073311260359,6.530730261529604,6.530730261529604,6.530730261529604
Explicit,2,43,77,158,,638,9,1,26.0,26.0,26.0,0.7884772865070868,0.7884772865070868,0.7884772865070868,0.7282833410776486,0.7282833410776486,0.7282833410776486,0.6200353831877996,0.6200353831877996,0.6200353831877996,6.857865782755033,6.857865782755033,6.857865782755033
Explicit,2,43,77,159,,639,9,1,26.5,26.5,26.5,0.8165591820327991,0.8165591820327991,0.8165591820327991,0.7715382238680806,0.7715382238680806,0.7715382238680806,0.6713119492208648,0.6713119492208648,0.6713119492208648,7.119944931719352,7.119944931719352,7.119944931719352
Explicit,2,43,77,160,,640,9,1,26.5,26.5,26.5,0.8303487912317611,0.8303487912317611,0.8303487912317611,0.8053359641721203,0.8053359641721203,0.8053359641721203,0.7205320277234728,0.7205320277234728,0.7205320277234728,7.289457682289897,7.289457682289897,7.289457682289897
